algorithm,configuration,seed,mae,rmse,r2,epochs,final_train_loss,final_val_loss
XGBoost,FULL_HYBRID,42,0.3330097878234103,0.5832241431657874,0.617210830161845,0,0,0
LSTM,FULL_HYBRID,42,0.4324405649222084,0.6194432097182349,0.5681910420472382,50,0.32229459285736084,0.338977187871933
LSTM,FULL_HYBRID,43,0.39090476279363634,0.5934918563545386,0.6036141136796985,50,0.3229132890701294,0.30385059118270874
LSTM,FULL_HYBRID,44,0.3904664468460214,0.6005368853059775,0.5941476839058133,50,0.32416996359825134,0.30617594718933105
LSTM,FULL_HYBRID,45,0.43822594222049294,0.6171863705438444,0.571331759708863,50,0.3202883005142212,0.33619803190231323
LSTM,FULL_HYBRID,46,0.40733672460614656,0.5999051221549745,0.59500114578949,50,0.3214245140552521,0.3114214837551117
LSTM,FULL_HYBRID,47,0.40328012427518845,0.6032057706563877,0.590532318294934,50,0.32087448239326477,0.31546711921691895
LSTM,FULL_HYBRID,48,0.38736243554146693,0.5912917628414568,0.6065474971197912,50,0.32016000151634216,0.31079551577568054
LSTM,FULL_HYBRID,49,0.374625727713322,0.5859081290717209,0.6136795470771728,50,0.31650885939598083,0.2957010567188263
LSTM,FULL_HYBRID,50,0.39882736660645896,0.5915469264090732,0.6062078461637099,50,0.3184763789176941,0.30490466952323914
LSTM,FULL_HYBRID,51,0.34682416800571725,0.5774857291128052,0.6247063923907674,50,0.31817007064819336,0.2893487811088562
XGBoost,NO_TEMPORAL,42,0.3326075329369884,0.5807246246482732,0.6204848316903163,0,0,0
LSTM,NO_TEMPORAL,42,0.3506641262759469,0.5888218840861695,0.6098276049546468,50,0.32466810941696167,0.32040008902549744
LSTM,NO_TEMPORAL,43,0.39488775502465445,0.5964789903789074,0.5996139322930101,50,0.32353606820106506,0.31270545721054077
LSTM,NO_TEMPORAL,44,0.34929855174143354,0.5823536868077513,0.6183525957103071,50,0.3261687755584717,0.2873848080635071
LSTM,NO_TEMPORAL,45,0.4344723820965345,0.6207980347296792,0.5663001008239523,50,0.32695087790489197,0.3390519320964813
LSTM,NO_TEMPORAL,46,0.3631282342095925,0.5851236263263947,0.6147133834182945,50,0.3223235011100769,0.2866807281970978
LSTM,NO_TEMPORAL,47,0.4027887206308963,0.6013210518307133,0.5930870876512986,50,0.3260212540626526,0.31367623805999756
LSTM,NO_TEMPORAL,48,0.37403856164152827,0.5879273750368763,0.6110121656720493,50,0.326832115650177,0.29718875885009766
LSTM,NO_TEMPORAL,49,0.4066775427312519,0.6018584097380365,0.5923595043748453,50,0.32701992988586426,0.3133135139942169
LSTM,NO_TEMPORAL,50,0.3607977250377889,0.587491481730461,0.6115887482400195,50,0.3318588435649872,0.3064337372779846
LSTM,NO_TEMPORAL,51,0.35095906000945326,0.5812624365339473,0.6197815645229208,50,0.3225986957550049,0.29166218638420105
XGBoost,NO_STATIC_MECH,42,0.3382827188243619,0.5888806365494977,0.6097497385111419,0,0,0
LSTM,NO_STATIC_MECH,42,0.40028715591234243,0.5967637697563978,0.5992315251474891,50,0.3254697620868683,0.3092605769634247
LSTM,NO_STATIC_MECH,43,0.35800032248119795,0.5811334959082058,0.619950232450754,50,0.32152125239372253,0.29176199436187744
LSTM,NO_STATIC_MECH,44,0.3375400288054046,0.5750579892188725,0.6278552151615775,50,0.3179641366004944,0.287021666765213
LSTM,NO_STATIC_MECH,45,0.3879940348903592,0.5928101889380668,0.6045241452709578,50,0.32401710748672485,0.3020996153354645
LSTM,NO_STATIC_MECH,46,0.4077316769424179,0.610255032476417,0.5809060480883075,50,0.32975295186042786,0.32060906291007996
LSTM,NO_STATIC_MECH,47,0.33283913676797144,0.576087546390537,0.6265214807513273,50,0.3208317756652832,0.2904781401157379
LSTM,NO_STATIC_MECH,48,0.37435878839074666,0.5844936617011471,0.6155425629944626,50,0.3248054087162018,0.29668548703193665
LSTM,NO_STATIC_MECH,49,0.40611712565044844,0.6015930843959449,0.5927188364435565,50,0.32539382576942444,0.3106326162815094
LSTM,NO_STATIC_MECH,50,0.414260322673028,0.6039621226387988,0.58950482196331,50,0.32344022393226624,0.32046863436698914
LSTM,NO_STATIC_MECH,51,0.36467196750164704,0.5818454341852932,0.6190184750644085,50,0.3205656111240387,0.2935037612915039
XGBoost,PURE_ML,42,0.34414603755187273,0.5893138112369729,0.6091753989963773,0,0,0
LSTM,PURE_ML,42,0.3612210591175307,0.5883558266815958,0.6104450098903935,50,0.32751259207725525,0.2988986074924469
LSTM,PURE_ML,43,0.3773830573669293,0.594706995236748,0.6019892995003604,50,0.32680121064186096,0.31136706471443176
LSTM,PURE_ML,44,0.40631507050881316,0.6110872305820224,0.5797622410547136,50,0.333680659532547,0.3124413788318634
LSTM,PURE_ML,45,0.37330725816505567,0.5899286146124346,0.6083595157915901,50,0.3272251486778259,0.3005676567554474
LSTM,PURE_ML,46,0.3452761444254587,0.5868953744630148,0.6123765632534142,50,0.3262961208820343,0.2961091995239258
LSTM,PURE_ML,47,0.382934086611833,0.5918477326970584,0.6058072514908783,50,0.32938072085380554,0.2993464469909668
LSTM,PURE_ML,48,0.44022917514993876,0.6266164624023227,0.5581323010763793,50,0.33413466811180115,0.3410157859325409
