algorithm,configuration,seed,mae,rmse,r2,epochs,final_train_loss,final_val_loss
XGBoost,FULL_HYBRID,42,0.3330097878234103,0.5832241431657874,0.617210830161845,0,0,0
LSTM,FULL_HYBRID,42,0.3804040781364256,0.5889142931285326,0.6097051289135601,50,0.3193202316761017,0.29882490634918213
LSTM,FULL_HYBRID,43,0.38698917925869325,0.5892166727049933,0.6093042301841185,50,0.3223104774951935,0.29969993233680725
LSTM,FULL_HYBRID,44,0.39173536461365727,0.5933743011338584,0.6037711254903764,50,0.3215855360031128,0.2978683412075043
XGBoost,NO_TEMPORAL,42,0.3326075329369884,0.5807246246482732,0.6204848316903163,0,0,0
LSTM,NO_TEMPORAL,42,0.3814613726864852,0.5932877723924322,0.6038866771276676,50,0.32380056381225586,0.305176317691803
LSTM,NO_TEMPORAL,43,0.3700995076407618,0.5868104199059414,0.6124887740338566,50,0.32600659132003784,0.293571412563324
LSTM,NO_TEMPORAL,44,0.35353412622965746,0.5839818573340692,0.6162155586481595,50,0.32047832012176514,0.2939843535423279
XGBoost,NO_STATIC_MECH,42,0.3382827188243619,0.5888806365494977,0.6097497385111419,0,0,0
LSTM,NO_STATIC_MECH,42,0.42493580767434663,0.6104821760110373,0.5805940074078807,50,0.3241044282913208,0.33198827505111694
LSTM,NO_STATIC_MECH,43,0.39543474347380475,0.5956871443220279,0.6006762787985718,50,0.32995548844337463,0.31322747468948364
LSTM,NO_STATIC_MECH,44,0.3839251659723354,0.5873519523086302,0.6117732219334587,50,0.3264467716217041,0.2969391942024231
XGBoost,PURE_ML,42,0.34414603755187273,0.5893138112369729,0.6091753989963773,0,0,0
LSTM,PURE_ML,42,0.4438877571650276,0.6230538704287532,0.5631424449713366,50,0.33602142333984375,0.33713799715042114
LSTM,PURE_ML,43,0.38226185430507986,0.5960978780394665,0.6001254115741379,50,0.3276326060295105,0.3131687343120575
LSTM,PURE_ML,44,0.4010569027199688,0.5990941887468141,0.5960953358877792,50,0.33294478058815,0.307277113199234
XGBoost,ONLY_MECH,42,0.5673870026349166,0.833118952747458,0.2189071124977564,0,0,0
LSTM,ONLY_MECH,42,0.3412845333572259,0.5827987631418743,0.6177690083066065,50,0.33407506346702576,0.2958680987358093
LSTM,ONLY_MECH,43,0.40850397580349607,0.6034771313101857,0.5901638257632145,50,0.3287917375564575,0.3128860592842102
LSTM,ONLY_MECH,44,0.513569062893356,0.6921298431850685,0.460906860031981,50,0.3326331377029419,0.41853976249694824
