algorithm,configuration,seed,lstm_units,mae,rmse,r2,epochs,final_train_loss,final_val_loss
LSTM,FULL_HYBRID,42,4,0.3408399262876923,0.5789987241239766,0.6227373006558254,50,0.32471320033073425,0.29498860239982605
LSTM,FULL_HYBRID,43,4,0.33810007849318463,0.5781604863022273,0.6238288642016292,50,0.32432374358177185,0.29422837495803833
LSTM,FULL_HYBRID,44,4,0.3971538497200435,0.5976832348100566,0.5979956039880272,50,0.32920417189598083,0.3095182180404663
LSTM,FULL_HYBRID,45,4,0.3479751034336504,0.5851725124888308,0.6146490005422653,50,0.3259875178337097,0.30216869711875916
LSTM,FULL_HYBRID,46,4,0.34019084156424456,0.5791887938995314,0.6224895695185362,50,0.3235645890235901,0.29336556792259216
LSTM,FULL_HYBRID,47,4,0.3613434422869897,0.5841111777102858,0.616045564861452,50,0.3238326609134674,0.2974666655063629
LSTM,FULL_HYBRID,48,4,0.3489731302646751,0.5853886354355392,0.6143643030511251,50,0.32968249917030334,0.31120026111602783
LSTM,FULL_HYBRID,49,4,0.34093741776140046,0.5783219994428196,0.6236186628150979,50,0.324799507856369,0.290981262922287
LSTM,FULL_HYBRID,50,4,0.34704896663053303,0.5818903213826677,0.6189596901997432,50,0.3279993534088135,0.30321231484413147
LSTM,FULL_HYBRID,51,4,0.3513727544492,0.5834806012443066,0.6168741124183285,50,0.3245498538017273,0.2999238073825836
LSTM,NO_TEMPORAL,42,4,0.37079873169095307,0.5889506558236368,0.6096569296706016,50,0.32616451382637024,0.30690380930900574
LSTM,NO_TEMPORAL,43,4,0.35707798945697317,0.5889876681207475,0.6096078663152122,50,0.3258862793445587,0.30748704075813293
LSTM,NO_TEMPORAL,44,4,0.37114698860086914,0.5900002280826031,0.6082644248406417,50,0.3305854797363281,0.30117470026016235
LSTM,NO_TEMPORAL,45,4,0.3677190385420584,0.5943289676384139,0.602495132492135,50,0.32591378688812256,0.31657201051712036
LSTM,NO_TEMPORAL,46,4,0.4340755150459136,0.6261542149811629,0.5587839815839177,50,0.33092164993286133,0.34560176730155945
LSTM,NO_TEMPORAL,47,4,0.39630273943814903,0.5972341951742693,0.5985994291791197,50,0.3326798975467682,0.31003376841545105
LSTM,NO_TEMPORAL,48,4,0.4489411961773774,0.6320249682771603,0.5504716093990265,50,0.35182005167007446,0.35720738768577576
LSTM,NO_TEMPORAL,49,4,0.40787184169612745,0.6087701268369028,0.5829430910107973,50,0.3298557698726654,0.31285426020622253
LSTM,NO_TEMPORAL,50,4,0.3525670740790032,0.5893247492595924,0.609160890977334,50,0.3315832018852234,0.31085723638534546
