lstm_units,configuration,n_runs,mae_mean,mae_std,r2_mean,degradation_pct,degradation_std_pct
4,FULL_HYBRID,10,0.3514,0.0175,0.6172,0.0,0.0
4,NO_TEMPORAL,10,0.3865,0.0339,0.5946,10.0,9.65
4,NO_STATIC_MECH,10,0.3677,0.018,0.6095,4.64,5.13
4,PURE_ML,10,0.388,0.0381,0.5916,10.43,10.85
4,ONLY_MECH,10,0.364,0.0233,0.6047,3.59,6.62
8,FULL_HYBRID,10,0.3718,0.0154,0.6113,0.0,0.0
8,NO_TEMPORAL,10,0.4099,0.0753,0.5685,10.23,20.24
8,NO_STATIC_MECH,10,0.3832,0.0306,0.6036,3.06,8.23
8,PURE_ML,10,0.3885,0.0502,0.5877,4.49,13.5
8,ONLY_MECH,10,0.3753,0.0359,0.6041,0.93,9.66
16,FULL_HYBRID,10,0.3819,0.0325,0.6049,0.0,0.0
16,NO_TEMPORAL,10,0.3838,0.0239,0.6025,0.5,6.26
16,NO_STATIC_MECH,10,0.3893,0.0186,0.6044,1.96,4.88
16,PURE_ML,10,0.3844,0.0221,0.5994,0.67,5.77
16,ONLY_MECH,10,0.3602,0.0347,0.6118,-5.69,9.08
32,FULL_HYBRID,10,0.4055,0.0284,0.5916,0.0,0.0
32,NO_TEMPORAL,10,0.4126,0.028,0.5819,1.75,6.9
32,NO_STATIC_MECH,10,0.4001,0.0221,0.5927,-1.35,5.45
32,PURE_ML,10,0.4081,0.0347,0.5828,0.62,8.57
32,ONLY_MECH,10,0.4074,0.0182,0.5867,0.46,4.5
