y,x,subset,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_holm,spearman_p_holm,holm_family
Per-patient MAE,Age (years),test patients,298,-0.1379,0.01723,-0.1466,0.01127,0.08615,0.03381,primary (n=7 tests)
Per-patient MAE,Weight (kg),test patients,294,0.0213,0.7155,0.0122,0.8352,0.89634,1.0,primary (n=7 tests)
Per-patient MAE,BMI (kg/m2),test patients,211,-0.0525,0.44817,-0.03,0.66474,0.89634,1.0,primary (n=7 tests)
Per-patient MAE,Instances per patient,test patients,298,0.0784,0.17696,0.2178,0.00015,0.60048,0.0006,primary (n=7 tests)
Calibrated EC50,Age (years),all patients,1489,-0.1087,3e-05,-0.2772,0.0,0.00021,0.0,primary (n=7 tests)
Calibrated EC50,Age (years),EC50 interior only,670,-0.2828,0.0,-0.3298,0.0,,,"sensitivity, not corrected"
Calibrated EC50,Weight (kg),all patients,1471,0.0716,0.00598,0.211,0.0,0.03588,0.0,primary (n=7 tests)
Calibrated EC50,Weight (kg),EC50 interior only,660,0.2481,0.0,0.2357,0.0,,,"sensitivity, not corrected"
Calibrated EC50,BMI (kg/m2),all patients,1089,0.0436,0.15012,0.1548,0.0,0.60048,0.0,primary (n=7 tests)
Calibrated EC50,BMI (kg/m2),EC50 interior only,446,0.2114,1e-05,0.1687,0.00034,,,"sensitivity, not corrected"
