variable,type,n,n_missing,mean,sd,median,q1,q3,min,max,n_positive,pct_positive,note
Age (years),continuous,1489,0,61.257,16.762,62.0,51.0,74.0,18.0,93.0,,,all patients
Weight (kg),continuous,1471,18,86.785,26.69,82.15,70.0,98.0,7.4,345.0,,,measured only
Height (cm),continuous,1091,398,170.179,10.591,170.0,163.0,178.0,130.0,203.0,,,measured only
BMI (kg/m2),continuous,1089,400,29.956,8.649,28.105,24.567,33.471,9.567,108.888,,,measured weight and height only
Calibrated EC50 (ug/mL),continuous,1489,0,1.082,1.678,0.5,0.5,0.942,0.5,10.0,,,all patients
Mean propofol rate (mcg/kg/min),continuous,1489,0,12.165,16.509,5.006,0.0,18.558,0.0,109.198,,,"mean over instances, zeros included"
Prediction instances per patient,continuous,1489,0,20.773,13.314,18.0,11.0,26.0,2.0,83.0,,,all patients
Sex: male,binary,1489,0,,,,,,,,912,61.25,
Sex: female,binary,1489,0,,,,,,,,577,38.75,
Comorbidity: AKI,binary,1489,0,,,,,,,,428,28.74,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: CKD_Stage_1_2,binary,1489,0,,,,,,,,5,0.34,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: CKD_Stage_3,binary,1489,0,,,,,,,,15,1.01,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: CKD_Stage_4,binary,1489,0,,,,,,,,13,0.87,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: CKD_Stage_5_ESRD,binary,1489,0,,,,,,,,69,4.63,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: CKD_Unspecified,binary,1489,0,,,,,,,,131,8.8,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: Diabetic_Nephropathy,binary,1489,0,,,,,,,,35,2.35,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: Dialysis,binary,1489,0,,,,,,,,15,1.01,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: Hypertensive_Kidney,binary,1489,0,,,,,,,,195,13.1,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: Other_Kidney,binary,1489,0,,,,,,,,23,1.54,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Comorbidity: ANY_Kidney,binary,1489,0,,,,,,,,539,36.2,legacy Phase 1 flag; see instructions.txt Section 9 for known defects
Height imputed to 170 cm,binary,1489,0,,,,,,,,398,26.73,substituted by 01_build_features.py; excluded from the stats above
Weight imputed to 75 kg,binary,1489,0,,,,,,,,18,1.21,substituted by 01_build_features.py; excluded from the stats above
