algorithm,configuration,mae_mean,mae_std,degradation_pct,degradation_std_pct,n_runs
XGBoost,FULL_HYBRID,0.333,0.0,0.0,0.0,1
XGBoost,NO_TEMPORAL,0.3326,0.0,-0.12,0.0,1
XGBoost,NO_STATIC_MECH,0.3383,0.0,1.58,0.0,1
XGBoost,PURE_ML,0.3441,0.0,3.34,0.0,1
XGBoost,ONLY_MECH,0.5674,0.0,70.38,0.0,1
LSTM,FULL_HYBRID,0.397,0.0264,0.0,0.0,10
LSTM,NO_TEMPORAL,0.3788,0.0293,-4.6,7.39,10
LSTM,NO_STATIC_MECH,0.3784,0.0295,-4.7,7.44,10
LSTM,PURE_ML,0.3957,0.0322,-0.33,8.1,10
LSTM,ONLY_MECH,0.3772,0.0203,-4.99,5.12,10
