variable,pinned-low_n,pinned-low_median,pinned-low_iqr,pinned-high_n,pinned-high_median,pinned-high_iqr,interior_n,interior_median,interior_iqr,kruskal_H,kruskal_p,mwu_low_vs_interior_p,mwu_high_vs_interior_p,kruskal_p_holm
Mean propofol rate (mcg/kg/min),774,0.0,0 to 7.547,45,14.1759,9.015 to 21.57,670,15.1192,2.26 to 30.81,304.148,9.02e-67,1.36e-62,0.933,9.02e-66
Median propofol rate (mcg/kg/min),774,0.0,0 to 0,45,0.0,0 to 20.19,670,0.0,0 to 34.43,212.334,7.8e-47,2.68e-47,0.218,7.02e-46
Mean Ce (ug/mL),774,0.0763,0.01862 to 0.3331,45,0.605,0.4622 to 0.9388,670,0.7871,0.2864 to 1.52,460.534,9.92e-101,7.92e-98,0.194,1.39e-99
Median Ce (ug/mL),774,0.0196,0.004553 to 0.1315,45,0.5143,0.1139 to 0.8454,670,0.5357,0.09052 to 1.584,465.568,8e-102,5.18e-100,0.179,1.2e-100
Max Ce reached (ug/mL),774,0.4185,0.07048 to 1.161,45,1.6307,1.048 to 2.034,670,1.8441,1.033 to 2.881,392.252,6.66e-86,1.01e-83,0.147,7.33e-85
Fraction of instances with Ce < 0.1,774,0.7778,0.4615 to 1,45,0.2778,0.0303 to 0.4762,670,0.2,0 to 0.5,427.377,1.57e-93,1.71e-91,0.449,2.04e-92
Fraction of instances with Ce < 0.01,774,0.3929,0.1 to 0.6,45,0.0,0 to 0.1538,670,0.0,0 to 0.1,423.826,9.28e-93,6.7e-92,0.0452,1.11e-91
Prediction instances,774,18.0,11 to 25,45,18.0,14 to 23,670,18.0,12 to 26,1.166,0.558,0.285,0.977,0.558
Mean observed SAS,774,3.9167,3.25 to 4,45,3.6667,3.2 to 3.816,670,3.8218,3.417 to 4,10.434,0.00542,0.482,0.000655,0.0163
Within-patient SAS SD,774,0.4258,0 to 0.6858,45,0.6794,0.4961 to 0.9003,670,0.4945,0.2778 to 0.7071,31.511,1.44e-07,0.000734,5.02e-05,1.01e-06
Within-patient SAS range,774,1.0,0 to 2,45,2.0,2 to 3,670,2.0,1 to 2,24.991,3.74e-06,0.00284,0.00038,2.25e-05
SAS observations (all),774,50.0,27 to 100.8,45,88.0,37 to 125,670,43.0,25 to 87,16.031,0.00033,0.00672,0.000534,0.00165
Calibration points (nominal),774,25.0,13 to 50,45,44.0,18 to 62,670,21.0,12 to 43,15.972,0.00034,0.00611,0.000619,0.00165
Calibration points (effective),774,19.0,11 to 27,45,0.0,0 to 0,670,18.0,11 to 25,133.687,9.34e-30,0.108,2.05e-29,7.47e-29
Per-patient MAE (test patients only),165,0.2125,0.08182 to 0.5103,11,0.471,0.3745 to 0.5637,122,0.322,0.1597 to 0.4859,9.716,0.00777,0.0378,0.0495,0.0163
